SAMPLE_ID,Source,Source_path,Question,Answer
AUG_TRAIN0,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,2024년 중앙정부 재정체계의 구성 요소 중에서 일반회계가 차지하는 비중은 얼마나 높나요?,"2024년 중앙정부 재정체계는 예산(일반·특별회계)과 기금으로 구분되며, 2024년 기준으로 일반회계 1개, 특별회계 21개, 기금 68개로 구성되어 있습니다."
AUG_TRAIN1,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,2024년 중앙정부의 예산 구성에 비중이 가장 높은 부분은 무엇인가요?,"2024년 중앙정부의 예산 지출은 일반회계 356.5조원, 21개 특별회계 81.7조원으로 구성되어 있습니다."
AUG_TRAIN2,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,기금이 예산과 구분되는 주요 특징은 무엇입니까?,"기금은 예산과 구분되는 재정수단으로서 재정운영의 신축성을 기할 필요가 있을 때, 정부가 편성하고 국회에서 심의・의결한 기금운용계획에 의해 운용됩니다."
AUG_TRAIN3,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,"특별회계, 기금, 일반회계의 차이점은 무엇이 가장 큰가요?","일반회계는 특정 사업 운영 및 특정 세입으로 특정 세출을 충당하는데 사용되고, 특별회계는 특정 목적을 위해 특정 자금을 운용하며, 기금은 재정운영의 신축성을 기할 필요가 있을 때 사용됩니다."
AUG_TRAIN4,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,2024년 총수입의 구성 비중은 예산수입과 기금수입이 각각 몇 퍼센트인지 알려주세요?,"2024년 총수입은 612.2조원이며, 예산수입은 395.5조원, 기금수입은 216.7조원입니다."
AUG_TRAIN5,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,2024년도 예산수입의 국세수입과 세외수입의 비율은 얼마나 차이가 나는가요?,"2024년도 예산수입은 국세수입 367.3조원, 세외수입 28.2조원으로 구성되어 있습니다."
AUG_TRAIN6,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,"2024년도 기금수입의 주요 구성 요소는 무엇이며, 그 비율은 얼마인가요?","2024년도 기금수입은 사회보장성기금 92.3조원, 경상이전수입 39.6조원, 기타 84.7조원으로 구성되어 있습니다."
AUG_TRAIN7,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,"국세수입의 2024년 예상 금액과 일반회계, 특별회계의 비중은 각각 얼마일까요?","2024년 국세수입은 367.3조원이며, 일반회계는 356.1조원, 특별회계는 11.2조원입니다."
AUG_TRAIN8,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,2024년도 일반회계 내국세 수입의 비중은 얼마나 될까요?,2024년도 일반회계 내국세수입은 321.6조원입니다.
AUG_TRAIN9,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,2024년 세외수입의 구성비는 일반회계와 특별회계의 비율은 어떻습니까?,"2024년 세외수입은 일반회계에서 11.2조원, 특별회계에서 17.0조원으로 나타났습니다."
AUG_TRAIN10,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,2024년 기금수입에서 가장 큰 비중을 차지하는 항목은 무엇에 의해 주로 구성되는가?,기금수입 중 가장 큰 비중을 차지하는 항목은 사회보장성기금 기여금이다.
AUG_TRAIN11,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,2024년 정부 예산 총지출의 일반회계와 특별회계의 비율은 얼마나 다른가?,2024년 총지출 중 일반회계와 특별회계의 비중은 각각 54.3%와 12.4%이다.
AUG_TRAIN12,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,2024년도 재정의 전체 규모와 예산 및 기금의 비중은 어떻게 될 것인가?,"2024년도 총계 기준 재정규모는 1,573.3조원이며, 예산은 550.0조원, 기금은 1,023.3조원으로 구성되어 있다."
AUG_TRAIN13,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,"내부거래지출의 주요 유형은 회계 간 거래, 기금 간 거래, 예금 및 예탁과 같은 금융 거래를 포함하는지 여부를 확인하고 싶습니다.","내부거래지출은 회계 간, 회계・기금 간, 기금 간 거래를 의미하며, 사업비 보전을 위한 전입・전출, 여유자금의 공공자금관리기금에 예수・예탁 등을 포함하고 있다."
AUG_TRAIN14,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,"보전지출은 어떤 유형의 금융 활동에서 발생하며, 자금의 운용이나 상환에 어떤 영향을 미치는가?","보전지출은 회계 또는 기금의 민간차입 상환(국채상환), 남은 자금의 금융기관 예치(기금여유자금 운용) 등을 의미하며, 민간차입 상환이나 자금의 운용 상황에서 발생한다."
AUG_TRAIN15,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,2024년 일반회계의 총지출이 전체 정부 예산의 몇 퍼센트를 차지하는지 설명해 주세요.,"2024년에 일반회계의 총지출은 356.5조원으로, 중앙정부 총지출(656.6조원)의 54.3%를 차지하고 있다."
AUG_TRAIN16,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,"2024년 예산에서 특별회계의 금액은 몇조 원이며, 총 정부 예산의 몇 퍼센트를 차지하는지 알 수 있나요?",2024년 예산 기준 특별회계는 81.7조원으로 중앙정부 총지출의 12.4%를 차지한다.
AUG_TRAIN17,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,2024년 중앙정부의 인건비 지출이 전체 예산의 몇 퍼센트를 차지하는지에 따라 인건비 편성 사업의 중요성을 평가할 수 있는 기준점은 무엇인가?,"2024년 기준으로 중앙정부의 인건비 편성 사업 규모는 46.1조원이며, 총지출의 7.0%를 차지한다."
AUG_TRAIN18,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,2024년 총예산에서 자본예산이 차지하는 비중은 얼마나 되는지 알고 싶습니다.,2024년 총지출 대비 자본지출의 비중은 6.1%입니다.
AUG_TRAIN19,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,"2020년 결산 결과, 연구개발비 중 개발연구 분야의 예산은 총 연구개발비의 몇 퍼센트를 차지했을까?",2020년 결산 기준 연구개발비 중 개발연구 규모는 78754억원이다.
AUG_TRAIN20,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,세출예산현액을 실제로 지출할 수 있는 한도액으로 간주할 수 있는 요인에 어떤 것이 포함되는지 설명해 보세요.,"예산 확정 후 전년도로부터의 이월액 반영, 추경 편성, 기금운용계획 변경, 이용・전용, 예비비 증액 등을 반영한 것으로, 실제 지출할 수 있는 한도액을 의미한다."
AUG_TRAIN21,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,국가 예산 이월액이 다음 연도에 미치는 경제적 영향은 어떠한가?,2022년 국가 예산의 다음 연도 이월액은 4.9조원이다.
AUG_TRAIN22,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,2022년 국가 예산의 누락된 자금은 얼마나 될까?,2022년 국가 예산의 불용액은 14.8조원이다.
AUG_TRAIN23,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,"2022년 일반회계, 특별회계, 기금의 예산 집행 성과는 어떠한가요?","2022년 기준, 집행률은 일반회계 97.3%, 특별회계 94.7%, 기금 97.6%"
AUG_TRAIN24,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,2022년 일반회계와 기타특별회계의 이월금 차지 비율 차이의 비율은 얼마인가?,"일반회계와 기타특별회계의 이월금 차지 비율은 2022년에 각각 56.9%, 35.3%로 나타났다."
AUG_TRAIN25,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,2022년 결산 후 사회보험성기금의 잔액은 얼마나 증가했을까요?,223억원입니다.
AUG_TRAIN26,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,사업성기금의 이월금 규모가 5년간 어떻게 변화했을까?,"사업성기금의 이월금은 2017년 3,510억원, 2018년 3,803억원, 2019년 4,056억원, 2020년 1,679억원, 2021년 2,931억원, 2022년 3,305억원으로 변동하였다."
AUG_TRAIN27,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,2022년 국내 총 생산량에 대한 일반 정부 부채와 공공부문 부채의 비율은 각각 얼마였을까?,"일반정부부채(D2)는 53.5%, 공공부문 부채(D3)는 73.5%이다."
AUG_TRAIN28,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,"국가 재무제표상 부채의 총액은 2022년 기준 2조원에 달하며, 그 구성은 장기충당부채와 장기차입부채, 유동부채로 이루어져 있는가?","2022년 결산 기준, 국가 재무제표상 부채는 2,326.0조원이며, 부채는 장기충당부채 1,243.2조원, 장기차입부채 812.2조원, 유동부채 220.0조원 등으로 구성되어 있다."
AUG_TRAIN29,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,"2022년 순자산의 크기는 얼마였으며, 2023년까지의 추세는 어떠하였는가?","2022년 기준, 순자산은 507.6조원으로, 전년 대비 163.1조원 감소했다."
AUG_TRAIN30,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,"국가채무와 일반정부부채, 공공부문부채를 작성할 때 회계기준의 차이점은 무엇이 인가요?","국가채무는 국가재정법과 지방재정법에 따라 현금주의 기준으로 순계 합산되며, 일반정부부채는 국가채무 추계 대상에 비영리공공기관을 더해 발생주의 기준으로 순계 합산하여 산출합니다. 공공부문부채는 일반정부부채에 비금융공기업의 부채를 발생주의 기준으로 순계 합산하여 산출합니다."
AUG_TRAIN31,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,국가 및 지방 재정의 지출 기준은 무엇에 따라 결정되는지 알려주세요.,"국가재정법 및 지방재정법상 재정관리 주체인 중앙정부, 지방자치단체, 교육청의 부채를 현금주의 기준으로 순계 합산하여 산출한다."
AUG_TRAIN32,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,현금주의와 발생주의의 차이점은 수입과 비용을 언제 인식하는지에 무엇에 따라 결정되나요?,"현금주의는 채무 수납과 지급 시점을 기준으로 수입과 비용을 인식하는 반면, 발생주의는 거래나 경제적 사건 발생 시점을 기준으로 수익과 비용을 인식합니다."
AUG_TRAIN33,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,국가채무 추계에 포함된 비영리공공기관의 부채가 일반정부 부채 산출에 어떤 영향을 미치는지 분석하는 데 어떤 방식으로 접근해야 할까요?,"국가채무 추계 대상에 비영리공공기관을 더해, 발생주의 기준으로 순계 합산하여 산출하며, OECD, IMF의 기준에 부합하는 통계로 국제비교에 활용한다."
AUG_TRAIN34,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,2008년 이후 연방정부의 예산 변경 횟수는 몇 번인가?,16회
