SAMPLE_ID,Answer
TEST_000,2022년 혁신창업사업화자금(융자)의 예산은 2300000백만원입니다.
TEST_001,창업기반지원과 개발기술사업화의 사업목적은 각각 창업을 활성화하고 고용창출을 도모하고 중소기업이 보유한 우수 기술의 보호와 개발기술의 제품화·사업화를 촉진하여 기술기반 중소기업을 육성하는 것입니다.
TEST_002,중소기업진흥에 관한 법률 제66조 제67조 제74조
TEST_003,재창업자금(실패 경영인에 대한 재기지원)
TEST_004,미래기술육성자금 고성장촉진자금
TEST_005,2015년
TEST_006,일자리창출촉진자금이 창업기반지원과 신청 대상이 중복인 자금으로 2023년에 폐지되었습니다.
TEST_007,중소벤처기업진흥공단
TEST_008,혁신창업사업화자금(융자) 사업 집행절차는 다음과 같습니다.  1. 사업계획수립/공고 서류 및 현장실사 2. 사전상담 및 신청 3. 사업계획수립/공고
TEST_009,부모급여 지원 사업의 목적은 출산 및 양육으로 인해 손실되는 소득을 보전하고 주 양육자의 직접 돌봄이 중요한 아동 발달의 특성에 따라 영아기 돌봄을 두텁게 지원하기 위해 부모급여 지급을 목적으로 합니다.
TEST_010,2024년 부모급여(영아수당)의 확정된 예산은 2888694백만원입니다.
TEST_011,아동수당법 제4조제5항
TEST_012,영아수당 지원사업은 2022년 1월부터 시행되었습니다.
TEST_013,부모급여 지원사업은 2022년 1월부터 시행되었습니다.
TEST_014,보건복지부의 부모급여(영아수당) 지원 사업시행방법은 지자체 보조이며 사업 수혜자는 만 0~1세 아동입니다.
TEST_015,노인장기요양보험 사업 운영의 목적은 노인이나 고령자에게 신체 또는 가사 활동 등을 제공하는 노인장기요양보험에 국고지원을 하여 효율적인 정책추진으로 노후의 건강증진 및 생활 안정을 도모하고 가족의 부담을 완화하여 국민 삶의 질을 향상시키는 것입니다.
TEST_016,노인장기요양보험 운영지원은 노인장기요양보험 사업추진에 필요한 경비를 지원하는 사업입니다.
TEST_017,이재민 의사상자 국가유공자 입양아동 국가무형문화재보유자 북한이탈주민등
TEST_018,국민건강보험법 제5조 제6조 제8조부터 제11조까지 제69조제1항부터 제3항까지 제76조부터 제86조까지 및 제110조는 장기요양보험가입자·피부양자의 자격취득·상실 장기요양보험료 등의 납부·징수 및 결손처분 등에 관하여 이를 준용한다.
TEST_019,노인장기요양보험법은 2007년 4월에 제정되고 2008년 7월부터 시행되었습니다.
TEST_020,장기요양인정점수 완화는 2012년 7월에 이루어졌으며 3등급 인정점수는 55∼75점에서 53점∼75점으로 완화되었습니다.
TEST_021,장기요양기관 지정갱신제의 법적 근거는 2018년 12월에 마련되었다.
TEST_022,요양보호사 1명당 시설수급자 2.5명에서 2.3명으로 개선되었습니다.
TEST_023,에너지바우처 제도의 주요 내용은 경제적 부담 등으로 에너지 이용에 어려움을 겪는 에너지 소외 계층에게 전기·가스·지역난방 등 에너지 이용에 필요한 비용을 지원하는 제도입니다.
TEST_024,에너지바우처 사업의 주요 수혜자는 노인 장애인 영유아 임산부 중증·희귀‧중증난치질환자 한부모 소년소녀가정 포함 세대 연탄을 사용하는 기초생활수급자 차상위계층 기타 소외계층 등유를 사용하는 생계‧의료급여(중위소득 40%이하) 수급세대 중 한부모‧소년소녀가정세대입니다.
TEST_025,2024년 에너지바우처 사업의 사업시행주체는 한국에너지공단 한국광해광업공단입니다.
TEST_026,하절기바우처의 2024년 예산은 60950백만원이며 동절기바우처의 2024년 예산은 600521백만원입니다.
TEST_027,328백만원
TEST_028,705백만원
TEST_029,502.7백만원
TEST_030,131.7백만원
TEST_031,에너지바우처 전달체계 구축에 34.6백만원이 할당되었습니다.
TEST_032,50백만원
TEST_033,에너지바우처 사업의 향후 기대효과는 저소득층의 적정수준 에너지 접근성이 높아지고 취약계층의 에너지 비용 부담이 약 115만 세대 세대당 평균 36.7만원 내외로 감소할 것으로 기대됩니다.
TEST_034,KDI(한국개발연구원 공공투자관리센터)
TEST_035,저소득층의 폭염 피해 최소화를 위해 동절기 에너지바우처 일부를 하절기에 사용할 수 있도록 제도 개선할 것
TEST_036,수급자 변경 등으로 예산부족이 발생하지 않도록 급여 선정기준 등의 변경계획 등을 보건복지부·지자체와 면밀히 소통하여 예산을 편성하고 사업을 추진할 계획입니다.
TEST_037,취약계층의 에너지 비용 부담 완화를 위해 지속적 지원단가 현실화 추진
TEST_038,행복주택출자 사업은 주택도시기금법 제9조제1항가목과 공공주택특별법 제2조1호가목에 근거하여 추진되고 있다.
TEST_039,행복주택출자는 국민의 행복주거 실현을 위한 보편적 주거복지 정책의 일환으로 도심 내 다양한 부지를 활용하여 행복주택을 공급하는 목적으로 시행됩니다.
TEST_040,행복주택출자 사업의 주요 수혜자는 대학생 사회초년생 신혼부부 등 젊은층(80%)과 고령자 및 주거취약계층(20%)입니다.
TEST_041,행복주택출자 사업의 사업비는 2020년 1267123백만원 2021년 1105291백만원 2022년 775293백만원 2023년 684607백만원 2024년 528783백만원으로 추이하고 있습니다.
TEST_042,한국토지주택공사(LH) 지자체(지방공사)
