SAMPLE_ID,Answer
TEST_000,2022년 혁신창업사업화자금(융자)의 예산은 2300000백만원입니다.
TEST_001,창업기반지원과 개발기술사업화의 사업목적은 창업을 활성화하고 고용 창출을 도모하고 중소기업이 보유한 우수 기술의 사장을 방지하고 개발기술의 제품화·사업화를 촉진하여 기술기반 중소기업을 육성하는 것입니다.
TEST_002,중소기업진흥에 관한 법률 제66조 제67조 제74조
TEST_003,2010년에 신규 지원된 혁신창업사업화자금은 재창업자금(실패 경영인에 대한 재기지원)입니다.
TEST_004,혁신창업사업화자금 중 2020년에 신규 지원된 자금은 미래기술육성자금 고성장촉진자금이 신규로 지원되었습니다.
TEST_005,2015년
TEST_006,일자리창출촉진자금이 창업기반지원과 신청 대상이 중복인 자금이며 2023년에 폐지되었습니다.
TEST_007,중소벤처기업진흥공단
TEST_008,혁신창업사업화자금(융자) 사업 집행절차는 다음과 같습니다.  1. 사업계획수립/공고 2. 융자 실행 지원결정통보 평가 및 승인 3. 융자 실행
TEST_009,부모급여 지원 사업의 목적은 출산 및 양육으로 인해 손실되는 소득을 보전하고 주 양육자의 직접 돌봄이 중요한 아동 발달의 특성에 따라 영아기 돌봄을 두텁게 지원하기 위해 부모급여 지급을 목적으로 합니다.
TEST_010,2024년 부모급여(영아수당)의 확정된 예산은 2888694백만원입니다.
TEST_011,아동수당법 제4조제5항
TEST_012,영아수당 도입에 대한 추진경위는 예비타당성조사 통과(’21.8.) 근거법 마련(’21.12.) 영아수당 지원사업 시행(’22.1~) ‘부모급여 도입’ 대통령 공약사항 및 국정과제[*]에 포함(’22.5.) 등으로 진행되었습니다.
TEST_013,부모급여 지원사업은 2023년 1월부터 시행되었습니다.
TEST_014,보건복지부의 부모급여(영아수당) 지원 사업시행방법은 지자체 보조이며 사업 수혜자는 만 0~1세 아동입니다.
TEST_015,노인장기요양보험 사업 운영의 목적은 노인장기요양보험에 국고지원을 하여 효율적인 정책추진으로 노후의 건강증진 및 생활 안정을 도모하고 가족의 부담을 완화하여 국민 삶의 질을 향상시키는 것입니다.
TEST_016,노인장기요양보험 운영지원은 노인장기요양보험 사업운영에 필요한 경비를 지원하는 사업입니다.
